pl_name,pl_bmasse,pl_rade,pl_insol,pl_eqt,pl_orbeccen,pl_orbsmax,sy_pnum,sy_snum,st_spectype,st_teff,discoverymethod
11 Com b,6165.6,,,,0.231,1.29,1,2,G8 III,4742.0,Radial Velocity
11 Com b,5434.7,,,,,1.21,1,2,,,Radial Velocity
11 Com b,4914.89848585,,,,0.238,1.178,1,2,G8 III,4874.0,Radial Velocity
11 UMi b,4684.8142,,,,0.08,1.53,1,1,,4213.0,Radial Velocity
11 UMi b,3337.07,,,,0.08,1.54,1,1,K4 III,4340.0,Radial Velocity
11 UMi b,3432.4,,,,,1.51,1,1,,,Radial Velocity
14 And b,1525.5,,,,0.0,0.83,1,1,K0 III,4813.0,Radial Velocity
14 And b,1131.15130051,,,,0.0,0.775,1,1,K0 III,4888.0,Radial Velocity
14 And b,1017.0,,,,,0.68,1,1,,,Radial Velocity
14 Her b,1481.0878,,,,0.37,2.93,2,1,,5338.0,Radial Velocity
14 Her b,1554.12,,,,0.37,2.82,2,1,K0 V,,Radial Velocity
14 Her b,1506.45,,,,0.338,2.8,2,1,,5255.0,Radial Velocity
14 Her b,1474.67,,,,0.369,2.77,2,1,K0 V,,Radial Velocity
14 Her b,1440.663,,,,0.357,2.73,2,1,,,Radial Velocity
14 Her b,2559.47216157,,,,0.373,2.774,2,1,,,Radial Velocity
14 Her b,1581.138,,,,0.359,2.864,2,1,,5280.0,Radial Velocity
14 Her b,1541.46777395,,,,0.3674,2.83,2,1,,5314.94,Radial Velocity
16 Cyg B b,565.7374,,,,0.68,1.66,1,3,,5750.0,Radial Velocity
16 Cyg B b,556.83536906,,,,0.6832,1.676,1,3,,5711.97,Radial Velocity
16 Cyg B b,533.9544,,,,0.681,1.681,1,3,,5674.0,Radial Velocity
16 Cyg B b,476.7,,,,0.634,1.6,1,3,G2.5 V,5760.0,Radial Velocity
16 Cyg B b,533.93,,,,0.689,1.68,1,3,,5747.0,Radial Velocity
16 Cyg B b,533.93,,,,0.689,1.68,1,3,G3 V,,Radial Velocity
17 Sco b,1373.01871824,,,,0.06,1.45,1,1,K3 III,4157.0,Radial Velocity
18 Del b,2926.24614325,,,,0.024,2.476,1,2,G6 III,4980.0,Radial Velocity
18 Del b,3127.3,,,,,2.54,1,2,,,Radial Velocity
18 Del b,3273.5,,,,0.08,2.6,1,2,G6 III,4979.0,Radial Velocity
1RXS J160929.1-210524 b,4000.0,,,1700.0,,330.0,1,1,,4060.0,Imaging
1RXS J160929.1-210524 b,3000.0,,,1700.0,,330.0,1,1,K7 V,4060.0,Imaging
1RXS J160929.1-210524 b,3000.0,,,1800.0,,330.0,1,1,,3993.0,Imaging
1RXS J160929.1-210524 b,2543.0,18.647,,1800.0,,330.0,1,1,K7 V,4060.0,Imaging
24 Boo b,289.2253,,,,0.042,0.19,1,1,G3 IV,4893.0,Radial Velocity
24 Boo b,280.64248338,,,,0.032,0.194,1,1,G3 IV,4816.0,Radial Velocity
24 Sex b,632.46,,,,0.09,1.333,2,1,,5098.0,Radial Velocity
24 Sex c,273.32,,,,0.29,2.08,2,1,,5098.0,Radial Velocity
2M0437 b,1271.313628,,,1450.0,,118.0,1,1,M V,3100.0,Imaging
2MASS J01033563-5515561 AB b,4131.79,,,,,84.0,1,2,M5.5/M6,,Imaging
2MASS J01225093-2439505 b,,11.209,,1600.0,,,1,1,,3309.0,Imaging
2MASS J01225093-2439505 b,7786.5,,,,,52.0,1,1,M3.5 V,3530.0,Imaging
2MASS J02192210-3925225 b,4417.837,16.14096,,,,156.0,1,1,M6,3064.0,Imaging
2MASS J0249-0557 c,3686.8095212,,,,,1950.0,1,2,M6 V,,Imaging
2MASS J03590986+2009361 b,5720.911326,,,2369.0,,572.0,1,1,,,Imaging
2MASS J04414489+2301513 b,2383.6,,,,,15.0,1,1,M8.5,,Imaging
2MASS J11011926-7732383 b,8899.195396,,,2677.0,,266.0,1,1,,,Imaging
2MASS J11550485-7919108 b,6356.56814,,,2506.0,,587.0,1,1,,,Imaging
2MASS J12073346-3932539 b,1589.15,,,1250.0,,55.0,1,1,M8,,Imaging
2MASS J12073346-3932539 b,1271.0,,,1150.0,,46.0,1,1,,2825.0,Imaging
2MASS J19383260+4603591 b,591.16083702,,,,0.33,,3,2,,29564.0,Eclipse Timing Variations
2MASS J19383260+4603591 b,603.877,,,,,0.92,3,2,,,Eclipse Timing Variations
2MASS J21252752-8138278 b,3813.940884,,,1616.0,,7493.0,1,1,,,Imaging
2MASS J22362452+4751425 b,3972.875,,,,,230.0,1,1,K7 V,4045.0,Imaging
30 Ari B b,3140.03,,,,0.289,0.995,1,4,F6 V,6300.0,Radial Velocity
30 Ari B b,2097.678,,,,0.18,1.01,1,4,,,Radial Velocity
30 Ari B b,4392.4106,,,,0.29,0.99,1,4,,6331.0,Radial Velocity
4 UMa b,2256.5,,,,0.432,0.87,1,1,K1 III,4415.0,Radial Velocity
4 UMa b,2511.48007211,,,,0.453,0.877,1,1,K1 III,4415.0,Radial Velocity
42 Dra b,1233.13,,,,0.38,1.19,1,2,K1.5 III,4200.0,Radial Velocity
47 UMa b,804.08,,,,0.032,2.1,3,1,,5872.0,Radial Velocity
47 UMa b,877.17,,,,0.097,2.11,3,1,,,Radial Velocity
47 UMa b,826.32,,,,0.049,2.11,3,1,G1 V,,Radial Velocity
47 UMa b,774.86565627,,,,0.016,2.059,3,1,,5829.16,Radial Velocity
47 UMa b,778.6835,,,,0.012,2.1,3,1,G0 V,5882.0,Radial Velocity
47 UMa c,171.621,,,,0.098,3.6,3,1,,5872.0,Radial Velocity
47 UMa c,157.96071828,,,,0.179,3.404,3,1,,5829.16,Radial Velocity
47 UMa c,425.87,,,,0.005,7.73,3,1,G1 V,,Radial Velocity
47 UMa d,479.92089457,,,,0.38,13.8,3,1,,5829.16,Radial Velocity
47 UMa d,521.22,,,,0.16,11.6,3,1,,5872.0,Radial Velocity
51 Eri b,,,,,0.21,14.0,1,3,,7295.0,Imaging
51 Eri b,,,,,0.45,12.0,1,3,,7295.0,Imaging
51 Eri b,635.66,,,700.0,,13.2,1,3,F0 IV,,Imaging
51 Peg b,149.3801,,,,0.0,,1,1,,5773.0,Radial Velocity
51 Peg b,148.738,,,,0.0,0.052,1,1,,,Radial Velocity
51 Peg b,147.47238085,,,,0.0042,0.05235,1,1,,5760.76,Radial Velocity
51 Peg b,150.009,,,,0.013,0.0527,1,1,,5758.0,Radial Velocity
51 Peg b,146.2018,,,,0.0,0.052,1,1,,,Radial Velocity
55 Cnc b,254.25,,,,0.004,0.1134,5,2,,5250.0,Radial Velocity
55 Cnc b,266.9772,,,,0.051,0.11,5,2,G8 V,5200.0,Radial Velocity
55 Cnc b,249.17872,,,,0.0197,0.115,5,2,,,Radial Velocity
55 Cnc b,255.4,,,,0.0,0.1134,5,2,,5172.0,Radial Velocity
55 Cnc b,266.9772,,,,0.02,0.115,5,2,G8 V,,Radial Velocity
55 Cnc b,266.966,,,,0.0023,0.11339,5,2,,5250.0,Radial Velocity
55 Cnc b,254.25,,,700.0,0.0,0.113,5,2,K0 IV-V,,Radial Velocity
55 Cnc b,260.61,,,,0.0159,0.1138,5,2,,5250.0,Radial Velocity
55 Cnc b,267.29369029,,,,0.0048,0.1162,5,2,,5317.89,Radial Velocity
55 Cnc b,263.9785,,,,0.0034,0.11522725,5,2,,,Radial Velocity
55 Cnc b,261.881,,,,0.014,0.115,5,2,,5250.0,Radial Velocity
55 Cnc b,289.21,,,,0.03,0.115,5,2,,,Radial Velocity
55 Cnc c,56.6985,,,,0.072,0.23735,5,2,,5250.0,Radial Velocity
55 Cnc c,54.3486576,,,,0.048,0.2432,5,2,,5317.89,Radial Velocity
55 Cnc c,52.44,,,,0.07,0.237,5,2,,5250.0,Radial Velocity
55 Cnc c,53.711,,,,0.086,0.24,5,2,,5250.0,Radial Velocity
55 Cnc c,51.2,,,,0.03,0.2373,5,2,,5172.0,Radial Velocity
55 Cnc c,52.44,,,,0.053,0.238,5,2,,5250.0,Radial Velocity
55 Cnc c,68.96911,,,,0.44,0.24,5,2,,,Radial Velocity
55 Cnc c,54.4738,,,,0.02,0.241376,5,2,,,Radial Velocity
55 Cnc d,1121.89,,,,0.02,5.47,5,2,,5250.0,Radial Velocity
55 Cnc d,918.49,,,,0.24,5.28,5,2,,,Radial Velocity
55 Cnc d,1243.35096,,,,0.327,5.257,5,2,,,Radial Velocity
55 Cnc d,1226.77,,,,0.0269,5.446,5,2,,5250.0,Radial Velocity
55 Cnc d,1218.827,,,,0.025,5.77,5,2,,5250.0,Radial Velocity
55 Cnc d,908.98924402,,,,0.139,5.54,5,2,,5317.89,Radial Velocity
55 Cnc d,991.6,,,,0.13,5.957,5,2,,5172.0,Radial Velocity
55 Cnc d,1232.493,,,,0.019,5.503,5,2,,,Radial Velocity
55 Cnc d,1220.42,,,,0.063,5.84,5,2,,5250.0,Radial Velocity
55 Cnc d,1287.2115,,,,0.16,5.9,5,2,G8 V,,Radial Velocity
55 Cnc e,8.08,1.91,,,,0.01544,5,2,,5250.0,Radial Velocity
55 Cnc e,7.4687,,,,0.264,0.0377,5,2,,5250.0,Radial Velocity
55 Cnc e,14.30235,,,,0.174,0.038,5,2,,,Radial Velocity
55 Cnc e,7.81,2.08,,1958.0,0.061,0.01544,5,2,,5234.0,Radial Velocity
55 Cnc e,8.08,1.92,,,,0.01544,5,2,,5250.0,Radial Velocity
55 Cnc e,8.13928,,,,0.04,0.015690907,5,2,,,Radial Velocity
55 Cnc e,8.09479,,,,0.028,0.015439,5,2,,5250.0,Radial Velocity
55 Cnc e,9.37593801,,,,0.036,0.01583,5,2,,5317.89,Radial Velocity
55 Cnc e,,,,,,,5,2,,5234.0,Radial Velocity
55 Cnc e,,1.856,,,,,5,2,,5272.0,Radial Velocity
55 Cnc e,,,,,,,5,2,,5250.0,Radial Velocity
55 Cnc e,,,,,,,5,2,,,Radial Velocity
55 Cnc e,8.63,2.0,,,,0.01583,5,2,G8 V,,Radial Velocity
55 Cnc e,8.59,1.947,,,,,5,2,,,Radial Velocity
55 Cnc e,7.99,1.875,,,0.05,0.01544,5,2,,5172.0,Radial Velocity
55 Cnc e,8.37,2.173,,,0.0,0.01583,5,2,,5250.0,Radial Velocity
55 Cnc e,7.74,1.897,,,,,5,2,,5172.0,Radial Velocity
55 Cnc e,,2.02311213,2657.8322,1831.27,,,5,2,,5250.0,Radial Velocity
55 Cnc e,,,,,,,5,2,,,Radial Velocity
55 Cnc f,54.664,,,,0.32,0.77,5,2,,5250.0,Radial Velocity
55 Cnc f,44.812,,,,0.305,0.788,5,2,,,Radial Velocity
55 Cnc f,47.0051,,,,0.08,0.7733,5,2,,5250.0,Radial Velocity
55 Cnc f,44.812,,,,0.0,0.775,5,2,,5250.0,Radial Velocity
55 Cnc f,46.87969003,,,,0.142,0.792,5,2,,5317.89,Radial Velocity
55 Cnc f,45.766,,,,0.2,0.781,5,2,,5250.0,Radial Velocity
55 Cnc f,47.8,,,,0.08,0.7708,5,2,,5172.0,Radial Velocity
6 Lyn b,638.8383,,,,0.073,2.11,1,1,,4938.0,Radial Velocity
6 Lyn b,762.8,,,,0.134,2.2,1,1,K0 IV,4978.0,Radial Velocity
6 Lyn b,702.4043,,,,0.125,2.18,1,1,,,Radial Velocity
6 Lyn b,597.83523357,,,,0.042,2.028,1,1,K0 IV,4941.0,Radial Velocity
61 Vir b,5.1,,,,0.12,0.050201,3,1,G5 V,5577.0,Radial Velocity
61 Vir b,5.11703735,,,,0.099,0.04956,3,1,,5585.57,Radial Velocity
61 Vir c,16.11390023,,,,0.068,0.2151,3,1,,5585.57,Radial Velocity
61 Vir c,18.2,,,,0.14,0.2175,3,1,G5 V,5577.0,Radial Velocity
61 Vir d,22.9,,,,0.35,0.476,3,1,G5 V,5577.0,Radial Velocity
7 CMa b,826.3,,,,0.14,1.9,2,1,K1 III,4792.0,Radial Velocity
7 CMa b,587.9855,,,,0.06,1.758,2,1,,4826.0,Radial Velocity
7 CMa b,781.8618,,,,0.22,1.93,2,1,,4794.52,Radial Velocity
7 CMa b,616.5,,,,,1.8,2,1,,,Radial Velocity
7 CMa c,276.5121,,,,0.08,2.153,2,1,,4826.0,Radial Velocity
7 CMa c,289.9,,,,,2.205,2,1,,,Radial Velocity
70 Vir b,2357.02728,,,,0.3988,0.481,1,1,,5495.0,Radial Velocity
70 Vir b,2351.942,,,,0.399,0.481,1,1,,5439.0,Radial Velocity
70 Vir b,2084.88,,,,0.397,0.456,1,1,,,Radial Velocity
70 Vir b,2380.45,,,,0.4007,0.484,1,1,,5545.0,Radial Velocity
70 Vir b,2421.8646,,,,0.4,0.48,1,1,,5531.0,Radial Velocity
70 Vir b,2297.89938261,,,,0.3989,0.4765,1,1,,5481.86,Radial Velocity
75 Cet b,787.89662095,,,,0.093,1.912,2,2,G3 III,4809.0,Radial Velocity
75 Cet b,953.49,,,,0.117,2.1,2,2,G3 III,4846.0,Radial Velocity
75 Cet c,289.85950718,,,,0.023,3.929,2,2,G3 III,4809.0,Radial Velocity
8 UMi b,416.3573,,,,0.06,0.49,1,1,,4847.0,Radial Velocity
8 UMi b,476.745,,,,0.06,0.49,1,1,K0,4847.4,Radial Velocity
81 Cet b,1684.4,,,,0.206,2.5,1,1,G5 III,4785.0,Radial Velocity
81 Cet b,1274.4,,,,,2.17,1,1,,,Radial Velocity
81 Cet b,1051.05854195,,,,0.037,2.104,1,1,G5 III,4734.0,Radial Velocity
91 Aqr b,1017.0,,,,0.027,0.7,1,3,K0 III,4665.0,Radial Velocity
AB Aur b,2860.455663,,,,0.4,93.9,1,1,,9770.0,Imaging
AB Pic b,4290.5,,,,,260.0,1,1,K2 V,,Imaging
AF Lep b,1017.0509024,,,,0.24,8.4,1,1,F8 V,6130.0,Imaging
AF Lep b,1664.46736746,,,1400.0,0.47,7.99,1,1,F8 V,6100.0,Imaging
AF Lep b,1366.6621501,,,,0.32,9.3,1,1,F8 V,6140.0,Imaging
AT2021ueyL b,425.89006538,,,,,4.01,1,1,M V,3680.0,Microlensing
AU Mic b,,,,,0.0,,3,1,,,Transit
AU Mic b,57.2094,4.203375,,,0.1,0.066,3,1,,3700.0,Transit
AU Mic b,11.7,,,,0.04,,3,1,,3700.0,Transit
AU Mic b,17.0,4.07,,593.0,0.0,0.0645,3,1,,3700.0,Transit
AU Mic b,10.2,,,,,,3,1,,3665.0,Transit
AU Mic b,17.1,,,,,,3,1,M1,3700.0,Transit
AU Mic b,,4.02692583,76.6379,754.62,,,3,1,,3588.0,Transit
AU Mic b,20.12,,,,0.186,0.0645,3,1,,,Transit
AU Mic b,,3.95677019,21.2,600.0,0.00577,0.0649,3,1,,3678.0,Transit
AU Mic b,,4.19,,,0.12,0.0644,3,1,,,Transit
AU Mic c,13.6,3.24,,454.0,0.0,0.1101,3,1,,3700.0,Transit
AU Mic c,,2.52202066,7.3,459.0,0.00338,0.1108,3,1,,3678.0,Transit
AU Mic c,22.2,,,,0.041,,3,1,,3700.0,Transit
AU Mic c,9.6,,,,,0.1101,3,1,,,Transit
AU Mic c,14.2,,,,,,3,1,,3665.0,Transit
AU Mic c,,2.79,,,0.13,0.11,3,1,,,Transit
AU Mic d,1.053,,,,0.00305,,3,1,,3678.0,Transit Timing Variations
BD+03 2562 b,2034.112,,,,0.2,1.3,1,1,,4095.0,Radial Velocity
BD+05 4868 A b,6.2,,,1820.0,,0.0208,1,2,K V,4596.0,Transit
BD+14 4559 b,330.5432,,,,0.29,0.78,1,1,,4864.0,Radial Velocity
BD+14 4559 b,467.19,,,,0.29,0.777,1,1,K2 V,5008.0,Radial Velocity
BD+15 2375 b,337.21763,,,,0.001,0.576,1,1,,4649.0,Radial Velocity
BD+15 2940 b,352.78,,,,0.26,0.539,1,1,K0,4796.0,Radial Velocity
BD+20 2457 b,17668.1697,,,,0.15,1.05,2,1,,4259.0,Radial Velocity
BD+20 2457 b,6807.63,,,,0.15,1.45,2,1,K2 II,4137.0,Radial Velocity
BD+20 2457 c,3963.17,,,,0.18,2.01,2,1,K2 II,4137.0,Radial Velocity
BD+20 274 b,1334.886,,,,0.21,1.3,1,1,K5 III,4296.0,Radial Velocity
BD+20 594 b,22.2481,2.57807,,,0.0,,1,1,,5766.0,Transit
BD+20 594 b,16.3,2.23,,546.0,0.0,0.241,1,1,G,5766.0,Transit
BD+20 594 b,,2.35545351,,,,,1,1,,5703.0,Transit
BD+45 564 b,432.24663352,,,,0.12,0.83,1,1,K1,5004.0,Radial Velocity
BD+48 738 b,289.2253,,,,0.2,1.0,1,1,K0 III,4414.0,Radial Velocity
BD+48 740 b,540.311,,,,0.76,1.7,1,1,,4534.0,Radial Velocity
BD+49 828 b,508.5,,,,0.35,4.2,1,1,K0,4943.0,Radial Velocity
BD+55 362 b,228.83645304,,,,0.27,0.78,1,1,K3,5012.0,Radial Velocity
BD+60 1417 b,4767.426105,14.68376472,,1303.0,,1662.0,1,1,K0,4993.0,Imaging
BD+63 1405 b,1258.60049172,,,,0.88,2.06,1,1,K0,5000.0,Radial Velocity
BD+63 1405 b,3305.4154328,,,,0.891,2.115,1,1,K0,5000.0,Radial Velocity
BD-06 1339 b,8.5,,,,0.0,0.0428,2,1,K7/M0 V,4324.0,Radial Velocity
BD-06 1339 c,53.0,,,,0.31,0.435,2,1,K7/M0 V,4324.0,Radial Velocity
BD-08 2823 b,14.4,,,,0.15,0.056,2,1,K3 V,4746.0,Radial Velocity
BD-08 2823 b,12.7132,,,,0.15,0.06,2,1,,4816.0,Radial Velocity
BD-08 2823 c,104.0,,,,0.19,0.68,2,1,K3 V,4746.0,Radial Velocity
BD-10 3166 b,145.56,,,,0.019,0.0452,1,1,,5393.0,Radial Velocity
BD-10 3166 b,187.5197,,,,0.02,0.04,1,1,,5393.0,Radial Velocity
BD-10 3166 b,152.55,,,,0.05,0.046,1,1,K0 V,5400.0,Radial Velocity
BD-10 3166 b,142.70495474,,,,0.022,0.045,1,1,,5382.64,Radial Velocity
BD-11 4672 b,206.5895,,,,0.05,2.36,2,1,,4550.0,Radial Velocity
BD-11 4672 b,168.44,,,,0.05,2.28,2,1,K7 V,4475.0,Radial Velocity
BD-11 4672 c,15.37,,,,0.4,0.3,2,1,,4550.0,Radial Velocity
BD-13 2130 b,3108.3774,,,,0.21,1.66,1,1,,4545.0,Radial Velocity
BD-13 2130 b,3368.998,,,,0.21,2.1,1,1,,,Radial Velocity
BD-14 3065 b,,20.7112,646.761,1404.0,,,1,3,,6736.9,Transit
BD-14 3065 b,3932.0,21.59,,2001.0,0.066,0.0656,1,3,,6935.0,Transit
BD-17 63 b,905.8155,,,,0.54,1.34,1,1,,4665.0,Radial Velocity
BD-17 63 b,1366.6621501,,,,0.28,,1,1,,,Radial Velocity
BD-17 63 b,1620.9,,,,0.54,1.34,1,1,K5 V,4714.0,Radial Velocity
BD-17 63 b,1639.99458012,,,,0.5439,,1,1,,,Radial Velocity
BD-210397 b,214.0,,0.02,,0.1,2.63,2,1,K7 V,4051.0,Radial Velocity
BD-210397 c,1525.5763536,,,,0.43,5.9,2,1,K7 V,,Radial Velocity
BD-210397 c,759.0,,0.0039,,0.1,5.9,2,1,K7 V,4051.0,Radial Velocity
Barnard b,0.37,,6.76,400.0,0.16,0.02294,4,1,M3.5-4 V,3195.0,Radial Velocity
Barnard b,0.299,,,438.0,0.03,0.0229,4,1,M3.5-4 V,3195.0,Radial Velocity
Barnard c,0.335,,,400.0,0.08,0.0274,4,1,M3.5-4 V,3195.0,Radial Velocity
Barnard d,0.263,,,483.0,0.04,0.0188,4,1,M3.5-4 V,3195.0,Radial Velocity
Barnard e,0.193,,,340.0,0.04,0.0381,4,1,M3.5-4 V,3195.0,Radial Velocity
CD Cet b,3.95,,8.6,464.0,,0.0185,1,1,M5.0 V,3130.0,Radial Velocity
CFBDSIR J145829+101343 b,3337.1,,,370.0,,2.6,1,1,,580.5,Imaging
CFHTWIR-Oph 98 b,2479.0615746,20.8487041,,1800.0,,200.0,1,1,M9-L1,2320.0,Imaging
CHXR 73 b,3994.486,,,,,210.0,1,1,M3.5,,Imaging
CI Tau c,1144.1822652,,,,0.58,0.17,1,1,,,Radial Velocity
COCONUTS-2 b,2542.627256,12.44196858,,,,,1,1,M3 V,3406.0,Imaging
COCONUTS-2 b,2002.3189641,12.44196858,,434.0,,7506.0,1,1,M3 V,3406.0,Imaging
CT Cha b,5403.0,24.66,,2600.0,,440.0,1,1,,,Imaging
CoRoT-1 b,327.35,16.7,,1898.0,0.0,,1,1,G0 V,5950.0,Transit
CoRoT-1 b,390.9309,19.223435,,,0.036,0.02752,1,1,,6298.0,Transit
CoRoT-1 b,,,,,,,1,1,,,Transit
CoRoT-1 b,359.1479,16.58932,,,0.0,0.0261,1,1,,5950.0,Transit
CoRoT-1 b,327.3649,17.385159,,1915.0,,0.02536,1,1,,5950.0,Transit
CoRoT-1 b,340.0781,15.91678,,1834.0,0.071,0.0259,1,1,,5950.0,Transit
CoRoT-1 b,,20.5944,2852.63,2036.0,,,1,1,,5950.0,Transit
CoRoT-10 b,867.6759,10.87273,,,0.524,0.1055,1,1,,5075.0,Transit
CoRoT-10 b,883.5674,10.547669,,647.0,,0.106,1,1,,5075.0,Transit
CoRoT-10 b,874.0,10.87,,600.0,0.53,0.1055,1,1,K1 V,5075.0,Transit
CoRoT-10 b,,7.38532555,16.1089,510.96,,,1,1,,5025.0,Transit
CoRoT-11 b,791.3967,15.58051,,1715.0,0.0,0.04351,1,1,,,Transit
CoRoT-11 b,740.51,16.03,,1657.0,0.0,0.0436,1,1,F6 V,6440.0,Transit
CoRoT-11 b,743.7222,15.984034,,1735.0,,0.044,1,1,,6440.0,Transit
CoRoT-11 b,832.7146,16.02887,,,0.36,0.04407,1,1,,6440.0,Transit
CoRoT-11 b,,21.74555811,1890.649,1681.79,,,1,1,,6343.0,Transit
CoRoT-11 b,,,,,,,1,1,,6343.0,Transit
CoRoT-11 b,,,,,,,1,1,F6 V,6440.0,Transit
CoRoT-12 b,277.46559,15.064896,,1417.0,,0.0392,1,1,,,Transit
CoRoT-12 b,290.81445,16.14096,,,0.05,0.04013,1,1,,5675.0,Transit
CoRoT-12 b,291.438,16.14,,1442.0,0.07,0.04016,1,1,,5675.0,Transit
CoRoT-12 b,281.91521,15.13215,,1410.0,,0.0394,1,1,,5675.0,Transit
CoRoT-12 b,,17.76037065,661.1334,1293.28,,,1,1,,5675.0,Transit
CoRoT-12 b,,,,,,,1,1,,5675.0,Transit
CoRoT-13 b,416.99296,14.033668,,1432.0,,0.051,1,1,,5945.0,Transit
CoRoT-13 b,,12.53306062,546.5339,1233.17,,,1,1,,5945.0,Transit
CoRoT-13 b,423.03173,9.919965,,,0.067,0.05107,1,1,,5945.0,Transit
CoRoT-13 b,,,,,,,1,1,G0 V,5945.0,Transit
CoRoT-13 b,415.704,9.92,,1700.0,0.0,0.051,1,1,G0 V,5945.0,Transit
CoRoT-14 b,2415.4,12.22,,1952.0,0.0,0.027,1,1,F9 V,6035.0,Transit
CoRoT-14 b,2437.7561,11.410762,,1936.0,,0.02687,1,1,,6035.0,Transit
CoRoT-14 b,2358.2986,12.21781,,,0.036,0.02691,1,1,,6040.0,Transit
CoRoT-16 b,170.032,13.11,,,0.33,0.0618,1,1,G5 V,5650.0,Transit
CoRoT-16 b,168.13207,13.11453,,,0.37,0.0618,1,1,,5650.0,Transit
CoRoT-17 b,765.9703,11.43318,,,0.081,0.0481,1,1,,5740.0,Transit
CoRoT-17 b,781.8618,11.287463,,1610.0,,0.0481,1,1,,5740.0,Transit
CoRoT-17 b,772.29,11.43,,1626.0,0.0,0.0461,1,1,G2 V,5740.0,Transit
CoRoT-18 b,1048.839,12.845514,,1487.0,,0.0288,1,1,,,Transit
CoRoT-18 b,,15.04962078,823.7009,1366.35,,,1,1,,5440.0,Transit
CoRoT-18 b,1099.6918,14.68379,,,0.025,0.0295,1,1,,5440.0,Transit
CoRoT-18 b,,,,,,,1,1,G9 V,5440.0,Transit
CoRoT-18 b,1102.82,14.68,,1550.0,0.08,0.0295,1,1,G9 V,5440.0,Transit
CoRoT-18 b,1039.3041,14.022459,,1490.0,,0.0286,1,1,,5440.0,Transit
CoRoT-19 b,367.09365,14.45961,,,0.056,0.05166,1,1,,6090.0,Transit
CoRoT-19 b,346.4347,13.33871,,1630.0,,0.0512,1,1,,6090.0,Transit
CoRoT-19 b,,,,,,,1,1,F9 V,6090.0,Transit
CoRoT-19 b,,13.49322275,1103.809,1470.09,,,1,1,,6090.0,Transit
CoRoT-19 b,,,,,,,1,1,F9 V,6090.0,Transit
CoRoT-19 b,352.78,14.46,,2000.0,0.047,0.0518,1,1,F9 V,6090.0,Transit
CoRoT-2 b,,,,,,,1,2,,5696.0,Transit
CoRoT-2 b,1102.82,16.432,,,0.0143,0.02798,1,2,,5625.0,Transit
CoRoT-2 b,1150.5446,16.47723,,1548.0,,0.02854,1,2,,5696.0,Transit
CoRoT-2 b,,,,,,,1,2,,5529.0,Transit
CoRoT-2 b,,16.533275,,,,,1,2,,5575.0,Transit
CoRoT-2 b,,,,,,,1,2,,,Transit
CoRoT-2 b,,,,,,,1,2,,5696.0,Transit
CoRoT-2 b,1051.973,16.42116,,,0.0,0.0281,1,2,,,Transit
CoRoT-2 b,1052.0173,15.849526,,1535.0,0.0,,1,2,,5625.0,Transit
CoRoT-2 b,1048.839,16.432394,,,0.024,0.0281,1,2,,5625.0,Transit
CoRoT-2 b,,16.92270968,932.9076,1409.55,,,1,2,,5529.0,Transit
CoRoT-2 b,1134.6531,16.36514,,1521.0,,0.02835,1,2,,5598.0,Transit
CoRoT-20 b,1315.8162,11.209,,1024.0,,0.0891,2,1,,,Transit
CoRoT-20 b,1344.4209,9.41556,,,0.575,0.0901,2,1,,5880.0,Transit
CoRoT-20 b,1347.54,9.42,,1002.0,0.562,0.0902,2,1,G2 V,5880.0,Transit
CoRoT-20 b,1366.669,,,,0.59,0.09,2,1,,,Transit
CoRoT-20 b,1608.2198,13.00244,,1100.0,,0.0892,2,1,,5880.0,Transit
CoRoT-20 b,,15.39650566,180.8704,935.32,,,2,1,,5880.0,Transit
CoRoT-20 c,5403.11,,,,0.6,2.9,2,1,,,Radial Velocity
CoRoT-21 b,705.5826,14.5717,,,0.39,0.0416,1,1,,6200.0,Transit
CoRoT-21 b,718.2958,14.5717,,,0.0,0.0417,1,1,F8 IV,6200.0,Transit
CoRoT-22 b,12.2,4.88,,885.0,0.077,0.092,1,1,G3 V,5939.0,Transit
CoRoT-23 b,889.9,11.77,,1660.0,0.16,0.048,1,1,G0 V,5900.0,Transit
CoRoT-23 b,972.5598,13.22662,,1710.0,,0.04809,1,1,,5900.0,Transit
CoRoT-23 b,982.0947,11.76945,,,0.16,0.0484,1,1,,5900.0,Transit
CoRoT-24 b,5.7,3.7,,1070.0,0.0,0.056,2,1,K1 V,4950.0,Transit
CoRoT-24 c,28.0,5.0,,850.0,0.0,0.098,2,1,K1 V,4950.0,Transit
CoRoT-25 b,85.81,12.11,,1330.0,0.0,0.0578,1,1,F9,6040.0,Transit
CoRoT-25 b,93.12419,12.10572,,,0.22,0.05789,1,1,,6040.0,Transit
CoRoT-26 b,165.26,14.12,,1600.0,0.0,0.0526,1,1,G5,5590.0,Transit
CoRoT-26 b,184.3414,14.12334,,,0.41,0.0525,1,1,,5590.0,Transit
CoRoT-27 b,3273.649,11.287463,,,0.034,0.0467,1,1,,5900.0,Transit
CoRoT-27 b,3302.11,11.287,,1500.0,0.065,0.0476,1,1,G2,5900.0,Transit
CoRoT-28 b,152.87623,10.704595,,,0.071,0.059,1,1,,5150.0,Transit
CoRoT-28 b,153.82972,10.704595,,,0.047,0.0603,1,1,G8/9 IV,5150.0,Transit
